P,FMQ,fo2,F,rho_bulk,rho_melt,Exsol_vol%,Gas_wt,mol_mass,mH2O,mH2,mO2,mCO2,mCO,mCH4,mSO2,mH2S,mS2,mN2,wH2O,wH2,wO2,wCO2,wCO,wCH4,wSO2,wH2S,wS2,wN2,fH2O,fH2,fCO2,fCO,fCH4,fSO2,fH2S,fS2,fN2,mCO2/CO,mCO2/H2O,mCO2/SO2,mH2S/SO2,H2O_melt,H2_melt,CO2_melt,CO_melt,CH4_melt,graph_melt,S2-_melt,S6+_melt,Stot_melt,N_melt,tot_H,tot_C,tot_O_gas,tot_O,tot_S,tot_N
1449.8617564,3.0,8.999719927292739e-10,0.4653819373010441,2682.8330088977746,2682.8331332756916,4.637066083418613e-06,1e-06,0.039814296818765235,0.09121175940705979,2.7734203268123534e-05,4.4700940438190184e-13,0.7941888470962365,0.00045464109957519795,1.9165270995429474e-13,0.00026737443334525954,3.730425866035992e-07,1.4924544915398161e-10,0.11384927056804466,0.041271741969742426,1.4046021640017155e-06,3.592620157037147e-13,0.8778719419655389,0.0003198484886265583,7.722322997282374e-14,0.00043022289960099956,3.1932297302145737e-07,2.4039381375520844e-10,0.08010452051052376,118.70775932838029,0.05015237356146574,1715.6634219732337,0.993536126901822,4.2851089757305185e-10,0.414700227166052,0.0006132822114199259,2.9158794558615314e-07,165.15767548440755,1746.84789351051,8.707088343202885,2970.3245637951613,0.0013952066468595028,1.0,2.7495293828500237e-07,0.1,1.5158645954795171e-05,5.929546978978726e-16,0.0,9.766711699138898e-06,0.009990233288300863,0.010000000000000004,0.001,1118.986175196494,272.7357383906401,9608.198368580704,53748.59168681928,100.00000215641137,10.000801045205105
1449.0,3.0000789820656983,8.999719673006086e-10,0.4654025555344576,2680.376378235287,2680.3797789581727,0.00016386333287095946,3.535132634782242e-05,0.03981682277671645,0.09126577803650275,2.775062877529731e-05,4.4727523937362035e-13,0.7943804037203357,0.00045475076444493343,1.9169799224417877e-13,0.00026743852737066417,3.7313109763145027e-07,1.4922826954942964e-10,0.11360350504160578,0.041293564656467475,1.4053448758656583e-06,3.594528626738631e-13,0.8780279776108536,0.0003199053439951407,7.723657555056301e-14,0.00043029873141429146,3.193784756246801e-07,2.403508933867306e-10,0.07992652869313051,118.70746371491002,0.05015224937742003,1715.0572489879205,0.9931851077686209,4.283573881592113e-10,0.41455309254200223,0.0006130631196859713,2.913810893808828e-07,164.70319781203526,1746.847868831958,8.70403365654336,2970.3289631839066,0.0013952032315609428,0.9999985810477217,2.688975064666862e-07,0.09996982595337546,1.5155590221859935e-05,5.927422881221135e-16,0.0,9.763246907559168e-06,0.009990229344187796,0.009999992591095356,0.000997254595718607,1118.9861751967255,272.73573839064017,9608.198393173008,53748.59168681928,100.00000215639123,10.000801045182865
1439.0,2.9998563931786713,8.976142250728459e-10,0.46540257680044383,2680.1695726419707,2680.2258621783585,0.002707829071174969,0.0005809015884773487,0.039865568687472555,0.09186914557693956,2.8024748850876865e-05,4.5027994215255913e-13,0.7978018336379142,0.00045729510626752915,1.9356051813263537e-13,0.00026899271317015993,3.768173265483584e-07,1.5019725792865894e-10,0.10957433124868997,0.04151573489153345,1.4174914705447474e-06,3.614251166440538e-13,0.8807314420306037,0.0003213018671947155,7.789164219595307e-14,0.00043227015054235837,3.221392923977276e-07,2.4161577190774465e-10,0.07699751118730769,118.70272955954057,0.05021607031006554,1705.402702255632,0.988890379968207,4.281524736879509e-10,0.4129200605040401,0.0006130311978441341,2.906106459403245e-07,157.76466032998144,1744.610477355907,8.684110738460744,2965.8864146748806,0.0014008458523186483,0.9999758567727838,2.75669376043529e-07,0.09948903211817904,1.5117089391816358e-05,5.924588507504497e-16,0.0,9.763127902849532e-06,0.009990111224661835,0.009999874352564685,0.0009553521279238689,1118.9861752050356,272.73573839064005,9608.19819034956,53748.59168688498,100.00000215640918,10.000801044813782
1429.0,2.9996334064530874,8.952618395354467e-10,0.465402544368035,2679.9615978824736,2680.0722236935394,0.005312798546897302,0.0011331757911697564,0.03991033192793105,0.09248247432731294,2.8299275660118065e-05,4.5324016112539903e-13,0.8009806011986972,0.00045970746626866225,1.9537517729769894e-13,0.00027050764162822637,3.8046760075514453e-07,1.511534727524705e-10,0.10577802947103009,0.04174602388945165,1.4297716076153968e-06,3.633931507763149e-13,0.8832488748053735,0.0003226345529820146,7.85337061956332e-14,0.0004342170714850466,3.248950840258317e-07,2.428812725767386e-10,0.074246494770693,118.69789629768131,0.05027995342622269,1695.5820026256818,0.9844866473334019,4.2789208029528613e-10,0.41129317144079136,0.0006129991750168871,2.898423619832719e-07,151.23981518607445,1742.370224482254,8.660890693342347,2961.0276307814224,0.0014064948349150233,0.9999526563775819,2.7613420361827505e-07,0.0989995560200582,1.5076974878604857e-05,5.920986439257707e-16,0.0,9.763015431887226e-06,0.009989990569493694,0.00999975358492558,0.0009159457740302617,1118.9861752042439,272.73573839064005,9608.198499766248,53748.59168687874,100.00000215641062,10.00080104483623
1419.0,2.99941026590219,8.929153026486601e-10,0.4654025094896009,2679.751642922195,2679.919144378028,0.008030690272610252,0.0017028336073852323,0.03995272750972595,0.09310372478425182,2.8577854618535534e-05,4.56241946596915e-13,0.8040162648296991,0.00046204331704305157,1.9716806357454942e-13,0.00027204345906306737,3.8416982978884543e-07,1.5212292748567543e-10,0.10211696143271835,0.04198185644829686,1.4423141959153392e-06,3.6541171806634193e-13,0.8856555237288568,0.00032392981208997684,7.917028090572044e-14,0.00043621897274677646,3.2770843656335574e-07,2.4417965800411204e-10,0.07160070077075281,118.69285607849082,0.05034383886315055,1685.4089977651474,0.9798649963681797,4.275269429818167e-10,0.4096722899107391,0.0006129658077154062,2.890757460950998e-07,144.98298889387075,1740.131791051928,8.635704604652894,2955.4699370415865,0.0014121634503249864,0.9999284621226888,2.7659923195239717e-07,0.09849208391025627,1.5033774421480917e-05,5.915934968047014e-16,0.0,9.762898560867603e-06,0.009989864992075706,0.009999627890636574,0.0008781560248957784,1118.9861752046024,272.73573839064017,9608.198832528446,53748.591686881555,100.00000215641015,10.0008010448055
1409.0,2.999186971208493,8.90574600091848e-10,0.4654024720984576,2679.5396607040525,2679.7666152674506,0.010862627310203446,0.0022895599900638994,0.039992741509700884,0.09373306298532479,2.886057187476193e-05,4.592861803894475e-13,0.8069080570532253,0.0004643019134403716,1.9893849648821746e-13,0.0002736006034098903,3.879250821810848e-07,1.5310590193613558e-10,0.09859172879387856,0.04222334631719754,1.4551254785610024e-06,3.674818498121955e-13,0.887951633129977,0.0003251875849146663,7.980125166308208e-14,0.0004382768891319656,3.305806922887936e-07,2.4551158836617127e-10,0.06905977012664904,118.68760709314468,0.050407725662297585,1674.8915454942342,0.9750291652350647,4.2705752781935455e-10,0.40805739414307485,0.0006129310854419778,2.88310794409492e-07,138.9909673567838,1737.8951791824852,8.608574513131593,2949.2188503852426,0.0014178517055385333,0.9999032652705998,2.770644250276356e-07,0.09796695889645043,1.498752164671238e-05,5.909440542336839e-16,0.0,9.762777270197772e-06,0.00998973446093263,0.009999497238202829,0.0008419636178726224,1118.9861752049114,272.73573839064005,9608.199189262903,53748.59168688398,100.00000215641072,10.00080104477608
1399.0,2.9989635220732644,8.88239717619202e-10,0.46540243213186044,2679.325607630762,2679.614625164813,0.013809446168043256,0.0028929664423870175,0.040030372352997036,0.09437066017752728,2.9147516168300157e-05,4.623737694969353e-13,0.8096559855799732,0.00046648295353041413,2.0068598014646847e-13,0.00027517952535469753,3.917344585413895e-07,1.5410268428257727e-10,0.0952021523582218,0.0424705983719314,1.4682114641224452e-06,3.6960450042555785e-13,0.8901379878050035,0.00032640800993458645,8.042655232155688e-14,0.0004403917585617562,3.335131373669203e-07,2.4687767218087786e-10,0.06662281208263952,118.68214807609442,0.05047161309033659,1664.0390714101397,0.9699838275727001,4.2648473439746283e-10,0.4064484629999229,0.0006128950012976352,2.875475038279321e-07,133.2594194427028,1735.660391129779,8.579530799687873,2942.2828044214148,0.0014235596127163037,0.9998770596888609,2.7752977821236483e-07,0.09742460164758633,1.493826282580862e-05,5.901515609432104e-16,0.0,9.762651552861864e-06,0.009989598958136628,0.00999936160968949,0.0008073425448222871,1118.9861752051754,272.7357383906401,9608.199570568288,53748.59168688606,100.00000215641201,10.000801044748195
1389.0,2.998739918214664,8.859106410553349e-10,0.4654023895306119,2679.1094434016504,2679.4631608617306,0.016871718554766463,0.003512598366280469,0.04006563014674694,0.09501669297184048,2.9438778914484166e-05,4.65505646987176e-13,0.8122607917505209,0.00046858655749105473,2.0241019789147094e-13,0.0002767806887564277,3.955990925464471e-07,1.551135713412864e-10,0.09194731349760264,0.04272370913154653,1.4815779406376195e-06,3.717805521155061e-13,0.892215876391176,0.0003275914115391959,8.104616320224206e-14,0.00044256442799998544,3.3650700492674105e-07,2.4827846944332555e-10,0.06428844030406135,118.67647826390302,0.05053550062323889,1652.8624052591458,0.9647345030755824,4.258098641544986e-10,0.4048454759211987,0.0006128575517066703,2.867858719498802e-07,127.7829936385197,1733.4274292877615,8.54861147389381,2934.6729188369277,0.0014292871887987165,0.9998498416526548,2.779952885782384e-07,0.09686550266231152,1.48860557958505e-05,5.892178177262281e-16,0.0,9.762521413423803e-06,0.00998945847822006,0.009999220999633485,0.0007742606340894496,1118.9861752053894,272.7357383906401,9608.199977009328,53748.59168688773,100.00000215641029,10.000801044722149
1379.0,2.9985161593665453,8.835873562922952e-10,0.4654023442388129,2678.891130761168,2679.312207391222,0.020049778654844235,0.004147943438020277,0.04009853579554495,0.09567134349644213,2.9734454290438625e-05,4.686827729440243e-13,0.8147238953336767,0.0004706132384449016,2.0411100322897315e-13,0.00027840457108070546,3.9952015192438345e-07,1.5613886883631774e-10,0.08882560922910146,0.04298276749686391,1.4952304976158693e-06,3.740108215259939e-13,0.8941870459936118,0.00032873828454429706,8.166010813952466e-14,0.00044479566166058564,3.3956347994206435e-07,2.4971449604864486e-10,0.062054817519171544,118.6705973440318,0.05059938792589282,1641.3735960085346,0.9592874548978433,4.2503458194906346e-10,0.40324841286072105,0.0006128187360727298,2.8602589698900357e-07,122.5554310524508,1731.1962961897486,8.515861339022328,2926.4027245353673,0.0014350344549787163,0.9998216095991561,2.7846095473869e-07,0.09629021346103067,1.483096869330591e-05,5.88145128262853e-16,0.0,9.76238686676705e-06,0.00998931302684284,0.009999075413709606,0.0007426802313436299,1118.9861752055544,272.73573839064017,9608.200409119352,53748.59168688903,100.0000021564116,10.000801044698232
1369.0,2.9982922452767973,8.812698492856835e-10,0.4654022962035106,2678.6706351736198,2679.161748301279,0.02334375462082759,0.004798440653546177,0.04012911994640964,0.09633479955036937,3.0034639322651894e-05,4.719061354503077e-13,0.8170473286657198,0.0004725638668988946,2.057884076607233e-13,0.00028005166384751143,4.034988394446491e-07,1.5717889167612754e-10,0.08583481795714569,0.043247855670930396,1.5091745548138728e-06,3.7629606797291205e-13,0.896053650290209,0.0003298492761840147,8.226845079847126e-14,0.0004470861510632107,3.426837056386209e-07,2.5118622926820267e-10,0.059919706501708074,118.66450539585152,0.05066327482826456,1629.5857133997024,0.9536495783178877,4.2416087269935215e-10,0.40165725421620757,0.000612778556384334,2.85267577680621e-07,117.56968971551505,1728.9669945089724,8.481331071213996,2917.4878572069592,0.0014408014360677208,0.9997923638445465,2.789267766591799e-07,0.09569933707754977,1.4773078558212228e-05,5.869362391201815e-16,0.0,9.76224793666797e-06,0.009989162619271965,0.009998924867208634,0.0007125589488413424,1118.986175205664,272.7357383906401,9608.20086740352,53748.59168688987,100.00000215641171,10.000801044676937
1359.0,2.998068175705372,8.789581060501857e-10,0.46540224537428493,2678.447924440529,2679.0117659384314,0.026753602907382316,0.005463489688113862,0.04015742181438159,0.09700725475978826,3.0339433976859693e-05,4.751767516137252e-13,0.8192336633291312,0.00047443963058204177,2.0744256613050526e-13,0.0002817224730954879,4.07536393924614e-07,1.5823396423907104e-10,0.08297217267811567,0.0435190502170895,1.5234153963796233e-06,3.7863700288876277e-13,0.8978181934322124,0.0003309251664111269,8.287129045612209e-14,0.00044943652646124564,3.458687911085804e-07,2.5269411401848213e-10,0.05788052512048249,118.6582028264628,0.05072716129916595,1617.5126436728488,0.9478282850930745,4.2319099497375883e-10,0.4000719807561205,0.0006127370167870971,2.8451091318428644e-07,112.81807508037497,1726.7395270586833,8.445076250819978,2907.9457322932753,0.0014465881597826324,0.9997621062761005,2.7939275544771335e-07,0.09509351822397426,1.4712469866291673e-05,5.855942755333098e-16,0.0,9.762104654265423e-06,0.009989007278745063,0.009998769383399327,0.0006838504523273706,1118.9861752057423,272.7357383906401,9608.201352343061,53748.591686890475,100.00000215641076,10.00080104465742
1349.0,2.9978439504220447,8.766521126546678e-10,0.4654021917027821,2678.2229682776774,2678.862241731236,0.030279144099948422,0.006142460239515074,0.040183487939612114,0.0976889087390732,3.064894125097178e-05,4.784956686380257e-13,0.8212859325514332,0.0004762419914848124,2.090737608227003e-13,0.0002834175198654821,4.1163409126431166e-07,1.5930442067011313e-10,0.08023443846280906,0.04379642320929491,1.537958208887529e-06,3.810343000743068e-13,0.8994834719907888,0.0003319668473213554,8.34687574418296e-14,0.00045184736915930177,3.491198197968941e-07,2.5423856965645393e-10,0.05593440325070374,118.65169030381699,0.050791047418670486,1605.1688865800745,0.9418313876441513,4.2212743334525664e-10,0.3984925735458793,0.0006126941231390915,2.8375590298495607e-07,108.29237189643958,1724.5138967919515,8.40715638195003,2897.795213722986,0.0014523946559820463,0.9997308400312855,2.7985889313402536e-07,0.09447343347651997,1.4649233043492237e-05,5.841226754756386e-16,0.0,9.761957056483541e-06,0.009988847034775905,0.009998608991832388,0.0006565052564755695,1118.9861752057777,272.73573839064017,9608.201864399241,53748.59168689077,100.00000215641225,10.000801044640198
1339.0,2.9976195692039855,8.743518552169155e-10,0.46540213514219947,2677.9957378683675,2678.7131564648935,0.03392009899962472,0.006834701066022115,0.04020737092335594,0.09837996725890662,3.0963267271795646e-05,4.818639649418888e-13,0.8232075522895452,0.00047797264179751694,2.1068238403052012e-13,0.0002851373407059931,4.15793245521112e-07,1.6039060519117192e-10,0.0776179912474442,0.04408004343130289,1.5528081218208032e-06,3.834886063745533e-13,0.9010525170011005,0.00033297530245220966,8.406100842187357e-14,0.00045431922426217487,3.524378585316563e-07,2.5581999704772875e-10,0.05407823953861417,118.64496868948619,0.050854933350170356,1592.5693598632856,0.935666986700354,4.209728511482188e-10,0.3969190138757817,0.0006126498825649452,2.830025467960029e-07,103.98397318362697,1722.2901068013005,8.367633932252787,2887.0562875114965,0.0014582209558790793,0.9996985691751501,2.803251924454534e-07,0.0938397817857029,1.4583463011387457e-05,5.825251242859839e-16,0.0,9.761805184462125e-06,0.009988681921459883,0.009998443726644346,0.0006304715030393548,1118.9861752057739,272.7357383906401,9608.202404018562,53748.591686890715,100.00000215641137,10.000801044625204
